City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,11.06,54,75,16.98,CL,1733158399
1,west island,-12.1568,96.8225,27.99,94,100,2.57,CC,1733158400
2,dampit,-8.2116,112.7493,22.48,98,100,0.55,ID,1733158402
3,port shepstone,-30.7414,30.455,21.1,81,100,2.58,ZA,1733158403
4,brokopondo,4.75,-55.1667,29.81,62,99,3.72,SR,1733158404
5,sosnovo-ozerskoye,52.5249,111.5418,-27.98,99,51,1.67,RU,1733158405
6,grytviken,-54.2811,-36.5092,2.21,100,100,1.15,GS,1733158406
7,chipinge,-20.1883,32.6236,20.96,45,0,3.0,ZW,1733158409
8,waitangi,-43.9535,-176.5597,12.12,90,87,2.24,NZ,1733158410
9,georgetown,5.4112,100.3354,26.96,84,20,2.24,MY,1733158230
10,barra de santo antonio,-9.4047,-35.5072,27.77,70,47,6.21,BR,1733158412
11,kununurra,-15.7667,128.7333,28.99,89,100,3.09,AU,1733158413
12,porto velho,-8.7619,-63.9039,33.03,52,40,3.6,BR,1733158414
13,itoman,26.1247,127.6694,20.01,73,20,2.57,JP,1733158415
14,lulea,65.5842,22.1547,-0.96,59,0,3.6,SE,1733158416
15,brookings,44.3114,-96.7984,-10.86,86,100,5.66,US,1733158418
16,adamstown,-25.066,-130.1015,23.07,83,98,5.95,PN,1733158419
17,margaret river,-33.95,115.0667,16.6,81,100,5.49,AU,1733158420
18,blackmans bay,-43.0167,147.3167,14.29,92,79,0.89,AU,1733158421
19,likiep,9.8251,169.3107,27.68,77,100,10.38,MH,1733158422
20,ushuaia,-54.8,-68.3,6.81,81,100,8.75,AR,1733158409
21,camiri,-20.05,-63.5167,24.88,65,100,2.57,BO,1733158425
22,el triunfo,-1.9333,-79.9667,33.02,39,13,1.06,EC,1733158426
23,tazovsky,67.4667,78.7,-14.2,93,100,4.35,RU,1733158427
24,vilyuchinsk,52.9306,158.4028,6.15,98,100,4.34,RU,1733158428
25,port mathurin,-19.6833,63.4167,25.11,73,8,7.16,MU,1733158429
26,vorgashor,67.5833,63.95,-9.14,94,100,3.72,RU,1733158430
27,new norfolk,-42.7826,147.0587,14.95,90,96,0.99,AU,1733158431
28,port blair,11.6667,92.75,27.02,78,40,1.54,IN,1733158432
29,tura,25.5198,90.2201,15.95,89,0,1.64,IN,1733158434
30,tual,-5.6667,132.75,29.03,73,100,2.1,ID,1733158435
31,bardai,11.65,7.2333,23.37,22,49,3.7,NG,1733158436
32,st. john's,47.5649,-52.7093,6.75,87,54,2.24,CA,1733158293
33,invercargill,-46.4,168.35,14.45,94,100,0.89,NZ,1733158438
34,misratah,32.3754,15.0925,18.51,63,44,8.11,LY,1733158439
35,hawaiian paradise park,19.5933,-154.9731,18.74,97,0,2.06,US,1733158442
36,akureyri,65.6835,-18.0878,-16.04,78,40,1.54,IS,1733158443
37,longyearbyen,78.2186,15.6401,-12.09,67,40,5.66,SJ,1733158359
38,hithadhoo,-0.6,73.0833,27.27,80,100,9.01,MV,1733158445
39,nampula,-15.1165,39.2666,28.97,34,0,2.68,MZ,1733158446
40,carnarvon,-24.8667,113.6333,20.68,67,0,6.61,AU,1733158448
41,san patricio,28.017,-97.5169,18.97,54,100,6.14,US,1733158449
42,port-aux-francais,-49.35,70.2167,6.25,96,89,10.07,TF,1733158450
43,olonkinbyen,70.9221,-8.7187,-9.53,62,100,5.75,SJ,1733158451
44,toliara,-23.35,43.6667,27.04,71,47,6.13,MG,1733158452
45,waverly,42.7392,-84.6208,-0.59,77,0,3.6,US,1733158453
46,ilulissat,69.2167,-51.1,-11.99,72,75,1.03,GL,1733158454
47,hermanus,-34.4187,19.2345,21.0,83,64,6.63,ZA,1733158455
48,tofol,5.3248,163.0078,26.62,88,94,6.24,FM,1733158457
49,lihue,21.9789,-159.3672,23.77,73,75,3.6,US,1733158458
